,Not_purchased,Purchased
0,0.8088467,0.1911533
1,0.5602555,0.43974447
2,0.7964912,0.2035088
3,0.80574226,0.19425777
4,0.8088467,0.1911533
5,0.54832935,0.45167065
6,0.8088467,0.1911533
7,0.8088467,0.1911533
8,0.80732954,0.19267045
9,0.80732954,0.19267045
10,0.80732954,0.19267045
11,0.8088467,0.1911533
12,0.5602555,0.43974447
13,0.6846373,0.31536266
14,0.80732954,0.19267045
15,0.80732954,0.19267045
16,0.80732954,0.19267045
17,0.80574226,0.19425777
18,0.80732954,0.19267045
19,0.80732954,0.19267045
20,0.8088467,0.1911533
21,0.8088467,0.1911533
22,0.8088467,0.1911533
23,0.6846373,0.31536266
24,0.80574226,0.19425777
25,0.80574226,0.19425777
26,0.53217065,0.46782935
27,0.8088467,0.1911533
28,0.8088467,0.1911533
29,0.6846373,0.31536266
30,0.80732954,0.19267045
31,0.80732954,0.19267045
32,0.6846373,0.31536266
33,0.4507773,0.5492227
34,0.8088467,0.1911533
35,0.8088467,0.1911533
36,0.80732954,0.19267045
37,0.8088467,0.1911533
38,0.80732954,0.19267045
39,0.8088467,0.1911533
40,0.8088467,0.1911533
41,0.5236323,0.47636768
42,0.80732954,0.19267045
43,0.8088467,0.1911533
44,0.4872508,0.5127492
45,0.4872508,0.5127492
46,0.80574226,0.19425777
47,0.6846373,0.31536266
48,0.5602555,0.43974447
49,0.8088467,0.1911533
50,0.5406301,0.4593699
51,0.7846076,0.21539241
52,0.8088467,0.1911533
53,0.5525937,0.44740632
54,0.8088467,0.1911533
55,0.80574226,0.19425777
56,0.8088467,0.1911533
57,0.44310397,0.55689603
58,0.8088467,0.1911533
59,0.8088467,0.1911533
60,0.80574226,0.19425777
61,0.80732954,0.19267045
62,0.6846373,0.31536266
63,0.80732954,0.19267045
64,0.8088467,0.1911533
65,0.7862563,0.21374369
66,0.79227,0.20773001
67,0.8088467,0.1911533
68,0.80732954,0.19267045
69,0.7191464,0.2808536
70,0.80574226,0.19425777
71,0.8088467,0.1911533
72,0.8088467,0.1911533
73,0.53217065,0.46782935
74,0.8088467,0.1911533
75,0.80574226,0.19425777
76,0.80732954,0.19267045
77,0.8088467,0.1911533
78,0.8088467,0.1911533
79,0.7964912,0.2035088
80,0.80732954,0.19267045
81,0.80574226,0.19425777
82,0.7846076,0.21539241
83,0.80732954,0.19267045
84,0.53217065,0.46782935
85,0.80574226,0.19425777
86,0.80574226,0.19425777
87,0.8088467,0.1911533
88,0.539891,0.46010897
89,0.80732954,0.19267045
90,0.8088467,0.1911533
91,0.80732954,0.19267045
92,0.8088467,0.1911533
93,0.8088467,0.1911533
94,0.74507374,0.25492626
95,0.80732954,0.19267045
96,0.80732954,0.19267045
97,0.8088467,0.1911533
98,0.80574226,0.19425777
99,0.80574226,0.19425777
100,0.8088467,0.1911533
101,0.80732954,0.19267045
102,0.6846373,0.31536266
103,0.8088467,0.1911533
104,0.80732954,0.19267045
105,0.5602555,0.43974447
106,0.80574226,0.19425777
107,0.44310397,0.55689603
108,0.8088467,0.1911533
109,0.80732954,0.19267045
110,0.80574226,0.19425777
111,0.8088467,0.1911533
112,0.8088467,0.1911533
113,0.7906553,0.2093447
114,0.8088467,0.1911533
115,0.8088467,0.1911533
116,0.8088467,0.1911533
117,0.80732954,0.19267045
118,0.80574226,0.19425777
119,0.8088467,0.1911533
120,0.7964912,0.2035088
121,0.41260165,0.58739835
122,0.48353517,0.5164648
123,0.8088467,0.1911533
124,0.8088467,0.1911533
125,0.8088467,0.1911533
126,0.4822322,0.5177678
127,0.8088467,0.1911533
128,0.80732954,0.19267045
129,0.8088467,0.1911533
130,0.45285338,0.5471466
131,0.8088467,0.1911533
132,0.80732954,0.19267045
133,0.8088467,0.1911533
134,0.8088467,0.1911533
135,0.8088467,0.1911533
136,0.7964912,0.2035088
137,0.7964912,0.2035088
138,0.8088467,0.1911533
139,0.80574226,0.19425777
140,0.8088467,0.1911533
141,0.8088467,0.1911533
142,0.80732954,0.19267045
143,0.8088467,0.1911533
144,0.44310397,0.55689603
145,0.80732954,0.19267045
146,0.80574226,0.19425777
147,0.8088467,0.1911533
148,0.8088467,0.1911533
149,0.8088467,0.1911533
150,0.8088467,0.1911533
151,0.8088467,0.1911533
152,0.80732954,0.19267045
153,0.8088467,0.1911533
154,0.80732954,0.19267045
155,0.8088467,0.1911533
156,0.8088467,0.1911533
157,0.8088467,0.1911533
158,0.80732954,0.19267045
159,0.8088467,0.1911533
160,0.7276789,0.27232113
161,0.7276789,0.27232113
162,0.8088467,0.1911533
163,0.80732954,0.19267045
164,0.8088467,0.1911533
165,0.7964912,0.2035088
166,0.8088467,0.1911533
167,0.8088467,0.1911533
168,0.8088467,0.1911533
169,0.80574226,0.19425777
170,0.8088467,0.1911533
171,0.5602555,0.43974447
172,0.7964912,0.2035088
173,0.80574226,0.19425777
174,0.8088467,0.1911533
175,0.8088467,0.1911533
176,0.8088467,0.1911533
177,0.8088467,0.1911533
178,0.80732954,0.19267045
179,0.7906553,0.2093447
180,0.6846373,0.31536266
181,0.80732954,0.19267045
182,0.80732954,0.19267045
183,0.80574226,0.19425777
184,0.80732954,0.19267045
185,0.8088467,0.1911533
186,0.7964912,0.2035088
187,0.3951323,0.6048677
188,0.8088467,0.1911533
189,0.80574226,0.19425777
190,0.7964912,0.2035088
191,0.8088467,0.1911533
192,0.7964912,0.2035088
193,0.5602555,0.43974447
194,0.8088467,0.1911533
195,0.8088467,0.1911533
196,0.80732954,0.19267045
197,0.8088467,0.1911533
198,0.8088467,0.1911533
199,0.80732954,0.19267045
200,0.8088467,0.1911533
201,0.5406301,0.4593699
202,0.8088467,0.1911533
203,0.80732954,0.19267045
204,0.80732954,0.19267045
205,0.80732954,0.19267045
206,0.80732954,0.19267045
207,0.80732954,0.19267045
208,0.7191464,0.2808536
209,0.80574226,0.19425777
210,0.7906553,0.2093447
211,0.7846076,0.21539241
212,0.80574226,0.19425777
213,0.80732954,0.19267045
214,0.5406301,0.4593699
215,0.80732954,0.19267045
216,0.8088467,0.1911533
217,0.80732954,0.19267045
218,0.8088467,0.1911533
219,0.71651495,0.28348508
220,0.5602555,0.43974447
221,0.8088467,0.1911533
222,0.80732954,0.19267045
223,0.5406301,0.4593699
224,0.80732954,0.19267045
225,0.73388773,0.26611227
226,0.7964912,0.2035088
227,0.5525937,0.44740632
228,0.8088467,0.1911533
229,0.80732954,0.19267045
230,0.5615407,0.43845928
231,0.5525937,0.44740632
232,0.80574226,0.19425777
233,0.8088467,0.1911533
234,0.7862563,0.21374369
235,0.80574226,0.19425777
236,0.8088467,0.1911533
237,0.5406301,0.4593699
238,0.8088467,0.1911533
239,0.80732954,0.19267045
240,0.8088467,0.1911533
241,0.8088467,0.1911533
242,0.8088467,0.1911533
243,0.8088467,0.1911533
244,0.80574226,0.19425777
245,0.7964912,0.2035088
246,0.8088467,0.1911533
247,0.80732954,0.19267045
248,0.8088467,0.1911533
249,0.8088467,0.1911533
250,0.80574226,0.19425777
251,0.8088467,0.1911533
252,0.8088467,0.1911533
253,0.41420197,0.585798
254,0.8088467,0.1911533
255,0.8088467,0.1911533
256,0.8088467,0.1911533
257,0.6830928,0.31690723
258,0.8088467,0.1911533
259,0.8088467,0.1911533
260,0.5406301,0.4593699
261,0.80574226,0.19425777
262,0.80732954,0.19267045
263,0.8088467,0.1911533
264,0.8088467,0.1911533
265,0.6846373,0.31536266
266,0.8088467,0.1911533
267,0.8088467,0.1911533
268,0.8088467,0.1911533
269,0.8088467,0.1911533
270,0.8088467,0.1911533
271,0.5338965,0.4661035
272,0.80732954,0.19267045
273,0.7620447,0.23795526
274,0.80732954,0.19267045
275,0.7862563,0.21374369
276,0.8088467,0.1911533
277,0.6846373,0.31536266
278,0.80732954,0.19267045
279,0.80732954,0.19267045
280,0.80732954,0.19267045
281,0.8088467,0.1911533
282,0.8088467,0.1911533
283,0.8088467,0.1911533
284,0.8088467,0.1911533
285,0.8088467,0.1911533
286,0.7906553,0.2093447
287,0.8088467,0.1911533
288,0.8088467,0.1911533
289,0.80732954,0.19267045
290,0.4899869,0.5100131
291,0.8088467,0.1911533
292,0.8088467,0.1911533
293,0.80732954,0.19267045
294,0.80732954,0.19267045
295,0.7276789,0.27232113
296,0.8088467,0.1911533
297,0.80732954,0.19267045
298,0.80732954,0.19267045
299,0.8088467,0.1911533
300,0.8088467,0.1911533
301,0.8088467,0.1911533
302,0.5525937,0.44740632
303,0.80732954,0.19267045
304,0.74608994,0.25391006
305,0.73388773,0.26611227
306,0.80732954,0.19267045
307,0.4507773,0.5492227
308,0.80732954,0.19267045
309,0.8088467,0.1911533
310,0.7964912,0.2035088
311,0.80732954,0.19267045
312,0.8088467,0.1911533
313,0.8088467,0.1911533
314,0.8088467,0.1911533
315,0.8088467,0.1911533
316,0.6846373,0.31536266
317,0.8088467,0.1911533
318,0.8088467,0.1911533
319,0.74608994,0.25391006
320,0.80732954,0.19267045
321,0.8088467,0.1911533
322,0.80732954,0.19267045
323,0.8088467,0.1911533
324,0.4822322,0.5177678
325,0.80732954,0.19267045
326,0.7964912,0.2035088
327,0.80732954,0.19267045
328,0.5602555,0.43974447
329,0.8088467,0.1911533
330,0.8088467,0.1911533
331,0.47526366,0.52473634
332,0.80732954,0.19267045
333,0.80732954,0.19267045
334,0.80732954,0.19267045
335,0.80732954,0.19267045
336,0.8088467,0.1911533
337,0.6846373,0.31536266
338,0.8088467,0.1911533
339,0.80574226,0.19425777
340,0.8088467,0.1911533
341,0.45285338,0.5471466
342,0.80574226,0.19425777
343,0.48353517,0.5164648
344,0.7964912,0.2035088
345,0.80732954,0.19267045
346,0.8088467,0.1911533
347,0.80732954,0.19267045
348,0.8088467,0.1911533
349,0.7964912,0.2035088
350,0.8088467,0.1911533
351,0.49458063,0.5054194
352,0.8088467,0.1911533
353,0.8088467,0.1911533
354,0.8088467,0.1911533
355,0.80574226,0.19425777
356,0.80732954,0.19267045
357,0.7191464,0.2808536
358,0.8088467,0.1911533
359,0.80732954,0.19267045
360,0.8088467,0.1911533
361,0.41133755,0.58866245
362,0.8088467,0.1911533
363,0.8088467,0.1911533
364,0.4507773,0.5492227
365,0.41420197,0.585798
366,0.8088467,0.1911533
367,0.8088467,0.1911533
368,0.80732954,0.19267045
369,0.5419257,0.45807427
370,0.80574226,0.19425777
371,0.8088467,0.1911533
372,0.80574226,0.19425777
373,0.8088467,0.1911533
374,0.8088467,0.1911533
375,0.80732954,0.19267045
376,0.8088467,0.1911533
377,0.80574226,0.19425777
378,0.8088467,0.1911533
379,0.79227,0.20773001
380,0.80732954,0.19267045
381,0.7964912,0.2035088
382,0.80574226,0.19425777
383,0.8088467,0.1911533
384,0.80732954,0.19267045
385,0.80574226,0.19425777
386,0.8088467,0.1911533
387,0.8088467,0.1911533
388,0.8088467,0.1911533
389,0.8088467,0.1911533
390,0.8088467,0.1911533
391,0.80574226,0.19425777
392,0.7964912,0.2035088
393,0.8088467,0.1911533
394,0.4899869,0.5100131
395,0.80732954,0.19267045
396,0.80732954,0.19267045
397,0.7964912,0.2035088
398,0.4507773,0.5492227
399,0.8088467,0.1911533
400,0.8088467,0.1911533
401,0.8088467,0.1911533
402,0.6830928,0.31690723
403,0.80732954,0.19267045
404,0.8088467,0.1911533
405,0.8088467,0.1911533
406,0.8088467,0.1911533
407,0.8088467,0.1911533
408,0.8088467,0.1911533
409,0.8088467,0.1911533
410,0.8088467,0.1911533
411,0.8088467,0.1911533
412,0.80732954,0.19267045
413,0.80732954,0.19267045
414,0.8088467,0.1911533
415,0.8088467,0.1911533
416,0.8088467,0.1911533
417,0.8088467,0.1911533
418,0.80732954,0.19267045
419,0.5525937,0.44740632
420,0.8088467,0.1911533
421,0.80732954,0.19267045
422,0.7846076,0.21539241
423,0.8088467,0.1911533
424,0.80732954,0.19267045
425,0.80732954,0.19267045
426,0.80574226,0.19425777
427,0.8088467,0.1911533
428,0.80574226,0.19425777
429,0.7964912,0.2035088
430,0.8088467,0.1911533
431,0.80574226,0.19425777
432,0.80732954,0.19267045
433,0.80732954,0.19267045
434,0.80574226,0.19425777
435,0.7964912,0.2035088
436,0.80732954,0.19267045
437,0.80732954,0.19267045
438,0.80732954,0.19267045
439,0.80574226,0.19425777
440,0.8088467,0.1911533
441,0.8088467,0.1911533
442,0.8088467,0.1911533
443,0.8088467,0.1911533
444,0.7964912,0.2035088
445,0.8088467,0.1911533
446,0.80574226,0.19425777
447,0.54832935,0.45167065
448,0.8088467,0.1911533
449,0.80574226,0.19425777
450,0.4507773,0.5492227
451,0.8088467,0.1911533
452,0.8088467,0.1911533
453,0.8088467,0.1911533
454,0.8088467,0.1911533
455,0.5419257,0.45807427
456,0.80574226,0.19425777
457,0.8088467,0.1911533
458,0.8088467,0.1911533
459,0.8088467,0.1911533
460,0.8088467,0.1911533
461,0.8088467,0.1911533
462,0.8088467,0.1911533
463,0.80732954,0.19267045
464,0.8088467,0.1911533
465,0.80574226,0.19425777
466,0.8088467,0.1911533
467,0.8088467,0.1911533
468,0.80732954,0.19267045
469,0.8088467,0.1911533
470,0.7964912,0.2035088
471,0.80732954,0.19267045
472,0.80732954,0.19267045
473,0.8088467,0.1911533
474,0.4899869,0.5100131
475,0.7964912,0.2035088
476,0.8088467,0.1911533
477,0.80574226,0.19425777
478,0.5406301,0.4593699
479,0.80732954,0.19267045
480,0.8088467,0.1911533
481,0.80574226,0.19425777
482,0.8088467,0.1911533
483,0.80732954,0.19267045
484,0.8088467,0.1911533
485,0.8088467,0.1911533
486,0.4507773,0.5492227
487,0.8088467,0.1911533
488,0.80574226,0.19425777
489,0.7964912,0.2035088
490,0.8088467,0.1911533
491,0.4507773,0.5492227
492,0.80574226,0.19425777
493,0.74608994,0.25391006
494,0.8088467,0.1911533
495,0.80732954,0.19267045
496,0.80574226,0.19425777
497,0.44310397,0.55689603
498,0.8088467,0.1911533
499,0.80574226,0.19425777
500,0.8088467,0.1911533
501,0.8088467,0.1911533
